Sample in Buffer	Sample in Window	addra_0	douta_0m	douta_1m	douta_2m	douta_3m	douta_4m	douta_5m	douta_6m	douta_7m
0	0	01	1C3E82	188E5F	1932EE	15DC8B	0E130F	0EAA82	0F646F	17A30D	
1	1	01	1C3E82	188E5F	1932EE	15DC8B	0E130F	0EAA82	0F646F	17A30D	
2	2	01	1C3E82	188E5F	1932EE	15DC8B	0E130F	0EAA82	0F646F	17A30D	
3	3	01	1C3E82	188E5F	1932EE	15DC8B	0E130F	0EAA82	0F646F	17A30D	
4	4	01	1C3E82	188E5F	1932EE	15DC8B	0E130F	0EAA82	0F646F	17A30D	
5	5	01	1C3E82	188E5F	1932EE	15DC8B	0E130F	0EAA82	0F646F	17A30D	
6	6	01	1C3E82	188E5F	1932EE	15DC8B	0E130F	0EAA82	0F646F	17A30D	
7	7	01	1C3E82	188E5F	1932EE	15DC8B	0E130F	0EAA82	0F646F	17A30D	
8	8	01	1C3E82	188E5F	1932EE	15DC8B	0E130F	0EAA82	0F646F	17A30D	
9	9	01	1C3E82	188E5F	1932EE	15DC8B	0E130F	0EAA82	0F646F	17A30D	
10	10	01	1C3E82	188E5F	1932EE	15DC8B	0E130F	0EAA82	0F646F	17A30D	
11	11	01	1C3E82	188E5F	1932EE	15DC8B	0E130F	0EAA82	0F646F	17A30D	
12	12	01	1C3E82	188E5F	1932EE	15DC8B	0E130F	0EAA82	0F646F	17A30D	
13	13	01	1C3E82	188E5F	1932EE	15DC8B	0E130F	0EAA82	0F646F	17A30D	
14	14	01	1C3E82	188E5F	1932EE	15DC8B	0E130F	0EAA82	0F646F	17A30D	
15	15	01	1C3E82	188E5F	1932EE	15DC8B	0E130F	0EAA82	0F646F	17A30D	
16	16	01	1C3E82	188E5F	1932EE	15DC8B	0E130F	0EAA82	0F646F	17A30D	
17	17	01	1C3E82	188E5F	1932EE	15DC8B	0E130F	0EAA82	0F646F	17A30D	
18	18	01	1C3E82	188E5F	1932EE	15DC8B	0E130F	0EAA82	0F646F	17A30D	
19	19	01	1C3E82	188E5F	1932EE	15DC8B	0E130F	0EAA82	0F646F	17A30D	
20	20	01	1C3E82	188E5F	1932EE	15DC8B	0E130F	0EAA82	0F646F	17A30D	
21	21	01	1C3E82	188E5F	1932EE	15DC8B	0E130F	0EAA82	0F646F	17A30D	
22	22	01	1C3E82	188E5F	1932EE	15DC8B	0E130F	0EAA82	0F646F	17A30D	
23	23	01	1C3E82	188E5F	1932EE	15DC8B	0E130F	0EAA82	0F646F	17A30D	
24	24	01	1C3E82	188E5F	1932EE	15DC8B	0E130F	0EAA82	0F646F	17A30D	
25	25	01	1C3E82	188E5F	1932EE	15DC8B	0E130F	0EAA82	0F646F	17A30D	
26	26	01	1C3E82	188E5F	1932EE	15DC8B	0E130F	0EAA82	0F646F	17A30D	
27	27	01	1C3E82	188E5F	1932EE	15DC8B	0E130F	0EAA82	0F646F	17A30D	
28	28	01	1C3E82	188E5F	1932EE	15DC8B	0E130F	0EAA82	0F646F	17A30D	
29	29	01	1C3E82	188E5F	1932EE	15DC8B	0E130F	0EAA82	0F646F	17A30D	
30	30	01	1C3E82	188E5F	1932EE	15DC8B	0E130F	0EAA82	0F646F	17A30D	
31	31	01	1C3E82	188E5F	1932EE	15DC8B	0E130F	0EAA82	0F646F	17A30D	
32	32	01	1C3E82	188E5F	1932EE	15DC8B	0E130F	0EAA82	0F646F	17A30D	
33	33	01	1C3E82	188E5F	1932EE	15DC8B	0E130F	0EAA82	0F646F	17A30D	
34	34	01	1C3E82	188E5F	1932EE	15DC8B	0E130F	0EAA82	0F646F	17A30D	
35	35	01	1C3E82	188E5F	1932EE	15DC8B	0E130F	0EAA82	0F646F	17A30D	
36	36	01	1C3E82	188E5F	1932EE	15DC8B	0E130F	0EAA82	0F646F	17A30D	
37	37	01	1C3E82	188E5F	1932EE	15DC8B	0E130F	0EAA82	0F646F	17A30D	
38	38	01	1C3E82	188E5F	1932EE	15DC8B	0E130F	0EAA82	0F646F	17A30D	
39	39	01	1C3E82	188E5F	1932EE	15DC8B	0E130F	0EAA82	0F646F	17A30D	
40	40	01	1C3E82	188E5F	1932EE	15DC8B	0E130F	0EAA82	0F646F	17A30D	
41	41	01	1C3E82	188E5F	1932EE	15DC8B	0E130F	0EAA82	0F646F	17A30D	
42	42	01	1C3E82	188E5F	1932EE	15DC8B	0E130F	0EAA82	0F646F	17A30D	
43	43	01	1C3E82	188E5F	1932EE	15DC8B	0E130F	0EAA82	0F646F	17A30D	
44	44	01	1C3E82	188E5F	1932EE	15DC8B	0E130F	0EAA82	0F646F	17A30D	
45	45	01	1C3E82	188E5F	1932EE	15DC8B	0E130F	0EAA82	0F646F	17A30D	
46	46	01	1C3E82	188E5F	1932EE	15DC8B	0E130F	0EAA82	0F646F	17A30D	
47	47	01	1C3E82	188E5F	1932EE	15DC8B	0E130F	0EAA82	0F646F	17A30D	
48	48	01	1C3E82	188E5F	1932EE	15DC8B	0E130F	0EAA82	0F646F	17A30D	
49	49	01	1C3E82	188E5F	1932EE	15DC8B	0E130F	0EAA82	0F646F	17A30D	
50	50	01	1C3E82	188E5F	1932EE	15DC8B	0E130F	0EAA82	0F646F	17A30D	
51	51	01	1C3E82	188E5F	1932EE	15DC8B	0E130F	0EAA82	0F646F	17A30D	
52	52	01	1C3E82	188E5F	1932EE	15DC8B	0E130F	0EAA82	0F646F	17A30D	
53	53	01	1C3E82	188E5F	1932EE	15DC8B	0E130F	0EAA82	0F646F	17A30D	
54	54	01	1C3E82	188E5F	1932EE	15DC8B	0E130F	0EAA82	0F646F	17A30D	
55	55	01	1C3E82	188E5F	1932EE	15DC8B	0E130F	0EAA82	0F646F	17A30D	
56	56	01	1C3E82	188E5F	1932EE	15DC8B	0E130F	0EAA82	0F646F	17A30D	
57	57	01	1C3E82	188E5F	1932EE	15DC8B	0E130F	0EAA82	0F646F	17A30D	
58	58	01	1C3E82	188E5F	1932EE	15DC8B	0E130F	0EAA82	0F646F	17A30D	
59	59	01	1C3E82	188E5F	1932EE	15DC8B	0E130F	0EAA82	0F646F	17A30D	
60	60	01	1C3E82	188E5F	1932EE	15DC8B	0E130F	0EAA82	0F646F	17A30D	
61	61	01	1C3E82	188E5F	1932EE	15DC8B	0E130F	0EAA82	0F646F	17A30D	
62	62	01	1C3E82	188E5F	1932EE	15DC8B	0E130F	0EAA82	0F646F	17A30D	
63	63	01	1C3E82	188E5F	1932EE	15DC8B	0E130F	0EAA82	0F646F	17A30D	
64	64	01	1C3E82	188E5F	1932EE	15DC8B	0E130F	0EAA82	0F646F	17A30D	
65	65	01	1C3E82	188E5F	1932EE	15DC8B	0E130F	0EAA82	0F646F	17A30D	
66	66	01	1C3E82	188E5F	1932EE	15DC8B	0E130F	0EAA82	0F646F	17A30D	
67	67	01	1C3E82	188E5F	1932EE	15DC8B	0E130F	0EAA82	0F646F	17A30D	
68	68	01	1C3E82	188E5F	1932EE	15DC8B	0E130F	0EAA82	0F646F	17A30D	
69	69	01	1C3E82	188E5F	1932EE	15DC8B	0E130F	0EAA82	0F646F	17A30D	
70	70	01	1C3E82	188E5F	1932EE	15DC8B	0E130F	0EAA82	0F646F	17A30D	
71	71	01	1C3E82	188E5F	1932EE	15DC8B	0E130F	0EAA82	0F646F	17A30D	
72	72	01	1C3E82	188E5F	1932EE	15DC8B	0E130F	0EAA82	0F646F	17A30D	
73	73	01	1C3E82	188E5F	1932EE	15DC8B	0E130F	0EAA82	0F646F	17A30D	
74	74	01	1C3E82	188E5F	1932EE	15DC8B	0E130F	0EAA82	0F646F	17A30D	
75	75	01	1C3E82	188E5F	1932EE	15DC8B	0E130F	0EAA82	0F646F	17A30D	
76	76	01	1C3E82	188E5F	1932EE	15DC8B	0E130F	0EAA82	0F646F	17A30D	
