Sample in Buffer	Sample in Window	addra_0	douta_0m	douta_1m	douta_2m	douta_3m	douta_4m	douta_5m	douta_6m	douta_7m
0	0	16	0C1B07	10B018	0D1C0F	019FE2	0E4A15	16A787	0B2A92	0F8187	
1	1	16	0C1B07	10B018	0D1C0F	019FE2	0E4A15	16A787	0B2A92	0F8187	
2	2	16	0C1B07	10B018	0D1C0F	019FE2	0E4A15	16A787	0B2A92	0F8187	
3	3	16	0C1B07	10B018	0D1C0F	019FE2	0E4A15	16A787	0B2A92	0F8187	
4	4	16	0C1B07	10B018	0D1C0F	019FE2	0E4A15	16A787	0B2A92	0F8187	
5	5	16	0C1B07	10B018	0D1C0F	019FE2	0E4A15	16A787	0B2A92	0F8187	
6	6	16	0C1B07	10B018	0D1C0F	019FE2	0E4A15	16A787	0B2A92	0F8187	
7	7	16	0C1B07	10B018	0D1C0F	019FE2	0E4A15	16A787	0B2A92	0F8187	
8	8	16	0C1B07	10B018	0D1C0F	019FE2	0E4A15	16A787	0B2A92	0F8187	
9	9	16	0C1B07	10B018	0D1C0F	019FE2	0E4A15	16A787	0B2A92	0F8187	
10	10	16	0C1B07	10B018	0D1C0F	019FE2	0E4A15	16A787	0B2A92	0F8187	
11	11	16	0C1B07	10B018	0D1C0F	019FE2	0E4A15	16A787	0B2A92	0F8187	
12	12	16	0C1B07	10B018	0D1C0F	019FE2	0E4A15	16A787	0B2A92	0F8187	
13	13	16	0C1B07	10B018	0D1C0F	019FE2	0E4A15	16A787	0B2A92	0F8187	
14	14	16	0C1B07	10B018	0D1C0F	019FE2	0E4A15	16A787	0B2A92	0F8187	
15	15	16	0C1B07	10B018	0D1C0F	019FE2	0E4A15	16A787	0B2A92	0F8187	
16	16	16	0C1B07	10B018	0D1C0F	019FE2	0E4A15	16A787	0B2A92	0F8187	
17	17	16	0C1B07	10B018	0D1C0F	019FE2	0E4A15	16A787	0B2A92	0F8187	
18	18	16	0C1B07	10B018	0D1C0F	019FE2	0E4A15	16A787	0B2A92	0F8187	
19	19	16	0C1B07	10B018	0D1C0F	019FE2	0E4A15	16A787	0B2A92	0F8187	
20	20	16	0C1B07	10B018	0D1C0F	019FE2	0E4A15	16A787	0B2A92	0F8187	
21	21	16	0C1B07	10B018	0D1C0F	019FE2	0E4A15	16A787	0B2A92	0F8187	
22	22	16	0C1B07	10B018	0D1C0F	019FE2	0E4A15	16A787	0B2A92	0F8187	
23	23	16	0C1B07	10B018	0D1C0F	019FE2	0E4A15	16A787	0B2A92	0F8187	
24	24	16	0C1B07	10B018	0D1C0F	019FE2	0E4A15	16A787	0B2A92	0F8187	
25	25	16	0C1B07	10B018	0D1C0F	019FE2	0E4A15	16A787	0B2A92	0F8187	
